Name,ppg,rpg,apg,spg,bpg,fgm,fga,fg%,TO,FG3M,FG3A,FTM,FTA,egp
Precious Achiuwa,9.236363636363636,5.963636363636364,0.9090909090909091,0.5636363636363636,0.5454545454545454,3.5636363636363635,7.345454545454546,48.51485148514851,1.0727272727272728,0.5272727272727272,1.9636363636363636,1.5818181818181818,2.2545454545454544,75
Steven Adams,8.595238095238095,11.547619047619047,2.3095238095238093,0.8571428571428571,1.0952380952380953,3.738095238095238,6.261904761904762,59.6958174904943,1.880952380952381,0.0,0.023809523809523808,1.119047619047619,3.0714285714285716,75
Bam Adebayo,20.386666666666667,9.173333333333334,3.2,1.1733333333333333,0.8133333333333334,8.026666666666667,14.853333333333333,54.039497307001795,2.493333333333333,0.013333333333333334,0.16,4.32,5.36,75
Ochai Agbaji,7.915254237288136,2.0508474576271185,1.1355932203389831,0.2711864406779661,0.2542372881355932,2.7966101694915255,6.5423728813559325,42.74611398963731,0.6949152542372882,1.3728813559322033,3.864406779661017,0.9491525423728814,1.1694915254237288,75
Santi Aldama,9.03896103896104,4.818181818181818,1.2597402597402598,0.5844155844155844,0.6233766233766234,3.207792207792208,6.818181818181818,47.04761904761905,0.7792207792207793,1.2207792207792207,3.4545454545454546,1.4025974025974026,1.87012987012987,75
Grayson Allen,10.416666666666666,3.2916666666666665,2.263888888888889,0.8611111111111112,0.19444444444444445,3.4027777777777777,7.736111111111111,43.98563734290844,1.0,2.0277777777777777,5.083333333333333,1.5833333333333333,1.75,75
Jarrett Allen,14.25,9.794117647058824,1.661764705882353,0.7941176470588235,1.2352941176470589,5.926470588235294,9.205882352941176,64.37699680511183,1.3676470588235294,0.014705882352941176,0.14705882352941177,2.3823529411764706,3.25,75
Jose Alvarado,9.01639344262295,2.3114754098360657,3.0491803278688523,1.098360655737705,0.16393442622950818,3.2950819672131146,8.01639344262295,41.104294478527606,1.3278688524590163,1.360655737704918,4.049180327868853,1.0655737704918034,1.3114754098360655,75
Kyle Anderson,9.376811594202898,5.333333333333333,4.855072463768116,1.1304347826086956,0.9130434782608695,3.652173913043478,7.173913043478261,50.90909090909091,1.4927536231884058,0.6231884057971014,1.5217391304347827,1.4492753623188406,1.9710144927536233,75
Giannis Antetokounmpo,31.095238095238095,11.777777777777779,5.698412698412699,0.8253968253968254,0.8095238095238095,11.222222222222221,20.285714285714285,55.320813771518,3.9047619047619047,0.746031746031746,2.7142857142857144,7.904761904761905,12.253968253968255,75
Cole Anthony,13.016666666666667,4.8,3.9166666666666665,0.6166666666666667,0.5166666666666667,4.616666666666666,10.166666666666666,45.409836065573764,1.5166666666666666,1.25,3.433333333333333,2.533333333333333,2.8333333333333335,75
O.G. Anunoby,16.776119402985074,4.955223880597015,1.955223880597015,1.9104477611940298,0.746268656716418,6.2835820895522385,13.208955223880597,47.57062146892655,1.9701492537313432,2.1194029850746268,5.477611940298507,2.08955223880597,2.4925373134328357,75
Deni Avdija,9.171052631578947,6.407894736842105,2.776315789473684,0.8552631578947368,0.3815789473684211,3.3289473684210527,7.618421052631579,43.69602763385147,1.618421052631579,0.9078947368421053,3.0526315789473686,1.605263157894737,2.1710526315789473,75
Deandre Ayton,17.955223880597014,9.955223880597014,1.7164179104477613,0.5522388059701493,0.7910447761194029,7.791044776119403,13.238805970149254,58.85005636978578,1.791044776119403,0.1044776119402985,0.3582089552238806,2.2686567164179103,2.985074626865672,75
Marvin Bagley III,12.0,6.404761904761905,0.8571428571428571,0.4523809523809524,0.7142857142857143,4.809523809523809,9.095238095238095,52.879581151832454,1.0952380952380953,0.4523809523809524,1.5714285714285714,1.9285714285714286,2.5714285714285716,75
LaMelo Ball,23.27777777777778,6.416666666666667,8.444444444444445,1.2777777777777777,0.3055555555555556,8.222222222222221,20.02777777777778,41.05409153952843,3.5833333333333335,4.0,10.63888888888889,2.8333333333333335,3.388888888888889,75
Paolo Banchero,19.958333333333332,6.902777777777778,3.736111111111111,0.8333333333333334,0.5416666666666666,6.652777777777778,15.583333333333334,42.691622103386806,2.7777777777777777,1.1805555555555556,3.9583333333333335,5.472222222222222,7.416666666666667,75
Desmond Bane,21.5,5.017241379310345,4.379310344827586,0.9655172413793104,0.3793103448275862,7.758620689655173,16.189655172413794,47.92332268370607,2.1724137931034484,2.8620689655172415,7.017241379310345,3.1206896551724137,3.5344827586206895,75
Harrison Barnes,15.0,4.463414634146342,1.5609756097560976,0.6951219512195121,0.12195121951219512,4.560975609756097,9.646341463414634,47.2819216182048,1.048780487804878,1.6097560975609757,4.304878048780488,4.2682926829268295,5.036585365853658,75
Scottie Barnes,15.311688311688311,6.64935064935065,4.818181818181818,1.077922077922078,0.7922077922077922,6.012987012987013,13.194805194805195,45.57086614173229,2.0,0.8181818181818182,2.909090909090909,2.4675324675324677,3.1948051948051948,75
RJ Barrett,19.602739726027398,5.041095890410959,2.7534246575342465,0.4246575342465753,0.2054794520547945,6.986301369863014,16.10958904109589,43.36734693877551,2.2465753424657535,1.6575342465753424,5.342465753424658,3.9726027397260273,5.36986301369863,75
Keita Bates-Diop,9.656716417910447,3.701492537313433,1.537313432835821,0.6865671641791045,0.29850746268656714,3.5223880597014925,6.940298507462686,50.752688172043015,0.835820895522388,0.835820895522388,2.1194029850746268,1.7761194029850746,2.2388059701492535,75
Nicolas Batum,6.128205128205129,3.8333333333333335,1.5512820512820513,0.6923076923076923,0.5641025641025641,2.051282051282051,4.884615384615385,41.99475065616797,0.6410256410256411,1.5897435897435896,4.064102564102564,0.4358974358974359,0.6153846153846154,75
Bradley Beal,23.2,3.92,5.42,0.9,0.66,8.88,17.56,50.56947608200456,2.9,1.6,4.38,3.84,4.56,75
Malik Beasley,12.654320987654321,3.493827160493827,1.5308641975308641,0.8024691358024691,0.1111111111111111,4.567901234567901,11.567901234567902,39.48772678762006,1.1111111111111112,2.9012345679012346,8.123456790123457,0.6172839506172839,0.8024691358024691,75
Patrick Beverley,6.1940298507462686,3.6865671641791047,2.8955223880597014,0.9402985074626866,0.6119402985074627,2.1492537313432836,5.373134328358209,40.0,0.8955223880597015,1.1940298507462686,3.5671641791044775,0.7014925373134329,0.9701492537313433,75
Saddiq Bey,13.792207792207792,4.701298701298701,1.5324675324675325,0.9090909090909091,0.16883116883116883,4.584415584415584,10.857142857142858,42.22488038277511,0.922077922077922,1.9610389610389611,5.428571428571429,2.6623376623376624,3.090909090909091,75
Bogdan Bogdanovic,14.0,3.0555555555555554,2.7777777777777777,0.7962962962962963,0.3333333333333333,5.055555555555555,11.314814814814815,44.680851063829785,1.2037037037037037,2.7037037037037037,6.666666666666667,1.1851851851851851,1.4259259259259258,75
